x-axis,1,2,F1
second,Volt,Volt,Volt
-5.000000E-03,-24.120603E-03,+131.166582E-03,-153.563745E-03
-4.995000E-03,-2.010050E-03,+131.166582E-03,-137.508080E-03
-4.990000E-03,+12.060301E-03,+132.493215E-03,-124.094994E-03
-4.985000E-03,+24.120603E-03,+131.166582E-03,-108.699974E-03
-4.980000E-03,+48.241206E-03,+133.819848E-03,-91.983665E-03
-4.975000E-03,+56.281406E-03,+133.819848E-03,-85.937766E-03
-4.970000E-03,+68.341708E-03,+135.146481E-03,-66.528830E-03
-4.965000E-03,+86.432160E-03,+133.819848E-03,-53.826437E-03
-4.960000E-03,+104.522612E-03,+133.819848E-03,-38.431417E-03
-4.955000E-03,+112.562813E-03,+133.819848E-03,-22.375753E-03
-4.950000E-03,+128.643215E-03,+136.473114E-03,-6.320088E-03
-4.945000E-03,+142.713566E-03,+134.483164E-03,+3.714702E-03
-4.940000E-03,+160.804018E-03,+133.819848E-03,+25.791241E-03
-4.935000E-03,+176.884420E-03,+133.819848E-03,+35.826031E-03
-4.930000E-03,+188.944722E-03,+133.819848E-03,+55.209943E-03
-4.925000E-03,+209.045224E-03,+131.829898E-03,+65.930402E-03
-4.920000E-03,+225.125626E-03,+133.819848E-03,+84.628645E-03
-4.915000E-03,+227.135676E-03,+133.156531E-03,+94.663435E-03
-4.910000E-03,+241.206028E-03,+131.166582E-03,+111.354720E-03
-4.905000E-03,+259.296480E-03,+129.176632E-03,+127.410384E-03
-4.900000E-03,+273.366831E-03,+128.513315E-03,+146.108627E-03
-4.895000E-03,+287.437183E-03,+125.860049E-03,+154.136459E-03
-4.890000E-03,+297.487434E-03,+124.533416E-03,+168.820786E-03
-4.885000E-03,+313.567836E-03,+122.543466E-03,+183.505112E-03
-4.880000E-03,+313.567836E-03,+120.553516E-03,+191.532945E-03
-4.875000E-03,+337.688439E-03,+118.563567E-03,+210.231187E-03
-4.870000E-03,+345.728640E-03,+117.900250E-03,+220.901598E-03
-4.865000E-03,+359.798991E-03,+115.246984E-03,+237.617907E-03
-4.860000E-03,+361.809041E-03,+112.593717E-03,+250.270251E-03
-4.855000E-03,+377.889443E-03,+109.940451E-03,+266.986560E-03
-4.850000E-03,+385.929644E-03,+107.287185E-03,+278.317615E-03
-4.845000E-03,+399.999996E-03,+107.287185E-03,+287.666736E-03
-4.840000E-03,+410.050247E-03,+101.980652E-03,+306.364979E-03
-4.835000E-03,+412.060297E-03,+101.317336E-03,+309.668202E-03
-4.830000E-03,+418.090448E-03,+95.347486E-03,+320.999257E-03
-4.825000E-03,+420.100498E-03,+94.020853E-03,+332.330312E-03
-4.820000E-03,+434.170850E-03,+91.367587E-03,+335.633534E-03
-4.815000E-03,+440.201000E-03,+86.061054E-03,+348.285879E-03
-4.810000E-03,+450.251251E-03,+82.081155E-03,+362.309561E-03
-4.805000E-03,+450.251251E-03,+78.764572E-03,+370.287344E-03
-4.800000E-03,+458.291452E-03,+75.447989E-03,+372.929922E-03
-4.795000E-03,+466.331653E-03,+72.794723E-03,+383.600333E-03
-4.790000E-03,+470.351754E-03,+68.814823E-03,+395.592032E-03
-4.785000E-03,+474.371854E-03,+65.498241E-03,+405.576774E-03
-4.780000E-03,+482.412055E-03,+62.181658E-03,+412.868888E-03
-4.775000E-03,+474.371854E-03,+56.875125E-03,+415.511466E-03
-4.770000E-03,+482.412055E-03,+55.548492E-03,+423.489250E-03
-4.765000E-03,+482.412055E-03,+48.915326E-03,+429.460075E-03
-4.760000E-03,+482.412055E-03,+43.608794E-03,+436.752190E-03
-4.755000E-03,+482.412055E-03,+40.955527E-03,+439.394768E-03
-4.750000E-03,+486.432156E-03,+36.975628E-03,+444.679924E-03
-4.745000E-03,+496.482407E-03,+32.332412E-03,+453.343377E-03
-4.740000E-03,+490.452256E-03,+27.689196E-03,+452.607659E-03
-4.735000E-03,+488.442206E-03,+27.025879E-03,+455.250237E-03
-4.730000E-03,+486.432156E-03,+19.729397E-03,+460.535393E-03
-4.725000E-03,+488.442206E-03,+17.076130E-03,+463.838616E-03
-4.720000E-03,+482.412055E-03,+11.769598E-03,+465.820550E-03
-4.715000E-03,+482.412055E-03,+6.463065E-03,+465.720452E-03
-4.710000E-03,+474.371854E-03,+3.809799E-03,+468.363030E-03
-4.705000E-03,+474.371854E-03,-1.496734E-03,+467.627312E-03
-4.700000E-03,+466.331653E-03,-4.150000E-03,+470.905511E-03
-4.695000E-03,+456.281402E-03,-10.119849E-03,+465.520257E-03
-4.690000E-03,+458.291452E-03,-12.109799E-03,+470.805413E-03
-4.685000E-03,+450.251251E-03,-17.416331E-03,+465.420159E-03
-4.680000E-03,+442.211051E-03,-22.722864E-03,+462.677483E-03
-4.675000E-03,+434.170850E-03,-26.039447E-03,+463.973748E-03
-4.670000E-03,+430.150749E-03,-29.356030E-03,+454.549553E-03
-4.665000E-03,+426.130649E-03,-33.999246E-03,+453.153191E-03
-4.660000E-03,+418.090448E-03,-38.642462E-03,+446.421623E-03
-4.655000E-03,+410.050247E-03,-41.959045E-03,+449.724846E-03
-4.650000E-03,+402.010046E-03,-49.255527E-03,+444.950188E-03
-4.645000E-03,+393.969845E-03,-51.908793E-03,+436.211662E-03
-4.640000E-03,+385.929644E-03,-54.562060E-03,+440.836174E-03
-4.635000E-03,+369.849242E-03,-59.868592E-03,+429.405021E-03
-4.630000E-03,+357.788941E-03,-63.848492E-03,+422.037834E-03
-4.625000E-03,+347.738690E-03,-67.828391E-03,+410.606681E-03
-4.620000E-03,+337.688439E-03,-73.134924E-03,+405.882072E-03
-4.615000E-03,+329.648238E-03,-75.124874E-03,+397.118521E-03
-4.610000E-03,+317.587936E-03,-78.441456E-03,+391.047598E-03
-4.605000E-03,+303.517585E-03,-81.094723E-03,+386.322989E-03
-4.600000E-03,+289.447233E-03,-86.401255E-03,+373.570547E-03
-4.595000E-03,+275.376881E-03,-87.064572E-03,+362.164419E-03
-4.590000E-03,+265.326630E-03,-93.034421E-03,+354.772207E-03
-4.585000E-03,+257.286429E-03,-97.014321E-03,+348.040639E-03
-4.580000E-03,+241.206028E-03,-99.667587E-03,+338.616445E-03
-4.575000E-03,+231.155776E-03,-100.330903E-03,+325.203358E-03
-4.570000E-03,+217.085425E-03,-104.974119E-03,+313.111561E-03
-4.565000E-03,+201.005023E-03,-107.627386E-03,+308.386952E-03
-4.560000E-03,+184.924621E-03,-110.280652E-03,+292.991932E-03
-4.555000E-03,+168.844219E-03,-112.933918E-03,+279.578845E-03
-4.550000E-03,+152.763817E-03,-115.587185E-03,+270.179675E-03
-4.545000E-03,+136.683416E-03,-118.240451E-03,+252.752673E-03
-4.540000E-03,+120.603014E-03,-120.893717E-03,+247.367419E-03
-4.535000E-03,+112.562813E-03,-123.546984E-03,+225.926500E-03
-4.530000E-03,+96.482411E-03,-123.546984E-03,+215.206041E-03
-4.525000E-03,+84.422110E-03,-126.200250E-03,+206.467515E-03
-4.520000E-03,+72.361808E-03,-128.853516E-03,+191.072495E-03
-4.515000E-03,+56.281406E-03,-128.853516E-03,+177.659409E-03
